iteration,oob_score,balanced_accuracy,f1_score
1,0.7884615384615384,0.875,0.734920634920635
2,0.8269230769230769,0.9166666666666666,0.8306277056277057
3,0.7692307692307693,0.875,0.7371794871794872
4,0.7692307692307693,0.875,0.7286706349206349
5,0.7884615384615384,0.8958333333333334,0.7693910256410256
6,0.7980769230769231,0.9166666666666667,0.8238095238095239
7,0.8173076923076923,0.8958333333333334,0.7718253968253969
8,0.8173076923076923,0.9583333333333334,0.9177489177489178
9,0.7788461538461539,0.8958333333333333,0.7821428571428571
10,0.75,0.875,0.730952380952381
11,0.8557692307692307,0.8333333333333333,0.6986832611832611
12,0.8076923076923077,0.8541666666666666,0.7305021367521368
13,0.8076923076923077,0.9375,0.8741258741258742
14,0.7403846153846154,0.7916666666666666,0.6077741702741702
15,0.7788461538461539,0.9166666666666666,0.8318903318903318
16,0.75,0.8333333333333333,0.6036706349206349
17,0.75,0.8541666666666666,0.7292124542124542
18,0.7307692307692307,0.8958333333333334,0.7682005494505496
19,0.8269230769230769,0.8541666666666666,0.74375
20,0.7884615384615384,0.8958333333333333,0.7881944444444443
21,0.7403846153846154,0.8541666666666666,0.6892857142857144
22,0.7403846153846154,0.9375,0.8617216117216117
23,0.8557692307692307,0.8958333333333333,0.7864357864357864
24,0.8173076923076923,0.8333333333333333,0.5967261904761905
25,0.8076923076923077,0.875,0.7354166666666666
26,0.875,0.875,0.7096688034188036
27,0.8269230769230769,0.8958333333333333,0.7827110389610389
28,0.7692307692307693,0.8125,0.5855519480519481
29,0.8076923076923077,0.9166666666666667,0.8232600732600733
30,0.7884615384615384,0.8958333333333334,0.8367521367521368
31,0.8269230769230769,0.8541666666666666,0.6876984126984126
32,0.7692307692307693,0.9166666666666667,0.8226190476190475
33,0.7307692307692307,0.8541666666666666,0.6872564935064934
34,0.8461538461538461,0.8958333333333334,0.7677045177045176
35,0.7596153846153846,0.8958333333333334,0.7716727716727716
36,0.8173076923076923,0.875,0.7253968253968255
37,0.8173076923076923,0.8958333333333334,0.7682005494505496
38,0.7692307692307693,0.8958333333333333,0.7809523809523808
39,0.7788461538461539,0.875,0.74375
40,0.75,0.8958333333333333,0.7827110389610389
41,0.7692307692307693,0.875,0.793997668997669
42,0.7884615384615384,0.8541666666666666,0.6842261904761905
43,0.7211538461538461,0.875,0.7870046620046621
44,0.7980769230769231,0.9166666666666667,0.827724358974359
45,0.75,0.8541666666666666,0.741991341991342
46,0.7692307692307693,0.875,0.7281746031746031
47,0.8365384615384616,0.9166666666666666,0.8071428571428573
48,0.8076923076923077,0.8958333333333334,0.76492673992674
49,0.7884615384615384,0.75,0.5037878787878788
50,0.7692307692307693,0.9166666666666667,0.8238095238095239
51,0.7884615384615384,0.9166666666666667,0.8265873015873014
52,0.7692307692307693,0.875,0.7304292929292929
53,0.7692307692307693,0.9375,0.8776695526695527
54,0.7596153846153846,0.8958333333333334,0.7716727716727716
55,0.7884615384615384,0.8958333333333333,0.7809523809523808
56,0.7980769230769231,0.8541666666666666,0.6842261904761905
57,0.7788461538461539,0.8958333333333333,0.7809523809523808
58,0.8365384615384616,0.8958333333333333,0.7916666666666666
59,0.7980769230769231,0.9375,0.8670634920634921
60,0.7403846153846154,0.8958333333333333,0.7822150072150071
61,0.7884615384615384,0.8333333333333333,0.7060064935064935
62,0.7788461538461539,0.9166666666666667,0.8232600732600733
63,0.7980769230769231,0.8958333333333334,0.7675595238095237
64,0.8461538461538461,0.8958333333333333,0.7809523809523808
65,0.75,0.8541666666666666,0.6872564935064934
66,0.8269230769230769,0.8958333333333334,0.7677045177045176
67,0.8076923076923077,0.9166666666666667,0.8273809523809524
68,0.7403846153846154,0.9375,0.8770833333333333
69,0.7884615384615384,0.8541666666666666,0.6633928571428571
70,0.8173076923076923,0.8541666666666666,0.7000000000000001
71,0.8076923076923077,0.8958333333333333,0.7836580086580086
72,0.7692307692307693,0.9166666666666666,0.8294372294372293
73,0.7884615384615384,0.8958333333333333,0.7872564935064936
74,0.7596153846153846,0.8125,0.6282509157509157
75,0.7596153846153846,0.875,0.7376984126984126
76,0.8173076923076923,0.9583333333333334,0.9188311688311689
77,0.7884615384615384,0.9166666666666667,0.8238095238095239
78,0.7884615384615384,0.9166666666666666,0.8318903318903318
79,0.75,0.8958333333333333,0.7869318181818182
80,0.8173076923076923,0.875,0.7253968253968255
81,0.7403846153846154,0.9375,0.8778409090909091
82,0.7692307692307693,0.8958333333333334,0.76492673992674
83,0.7980769230769231,0.8958333333333333,0.7809523809523808
84,0.8076923076923077,0.8541666666666666,0.6661706349206349
85,0.7692307692307693,0.875,0.734920634920635
86,0.7307692307692307,0.8958333333333333,0.788961038961039
87,0.8269230769230769,0.8958333333333334,0.7677045177045176
88,0.7980769230769231,0.9375,0.8762626262626263
89,0.7596153846153846,0.9375,0.8781655844155845
90,0.75,0.9166666666666666,0.8323863636363636
91,0.8076923076923077,0.8541666666666666,0.698051948051948
92,0.7692307692307693,0.8958333333333333,0.7824675324675324
93,0.7596153846153846,0.875,0.7373737373737373
94,0.7692307692307693,0.8958333333333334,0.7738095238095237
95,0.7788461538461539,0.8958333333333333,0.7870039682539683
96,0.8076923076923077,0.9166666666666667,0.8276695526695527
97,0.7884615384615384,0.875,0.7281746031746031
98,0.8173076923076923,0.8541666666666666,0.6595009157509157
99,0.7211538461538461,0.7916666666666666,0.6113095238095237
100,0.7692307692307693,0.8958333333333334,0.7723214285714285
