Metric,Mean,Std,Min,Max
accuracy,0.9027482269503546,0.03366413865938781,0.8541666666666666,0.9574468085106383
balanced_accuracy,0.925282634032634,0.03391795202082131,0.880011655011655,0.978219696969697
f1_score,0.9018193834636943,0.03341162851331399,0.8552536231884057,0.9574468085106383
precision,0.9101350894967917,0.0326327711296381,0.861111111111111,0.9574468085106383
recall,0.9027482269503546,0.03366413865938781,0.8541666666666666,0.9574468085106383
roc_auc,0.9801684542538804,0.01114929762216004,0.9611267829291085,0.9933975008443093
mcc,0.8842857048710446,0.04077195039115531,0.8237861917487211,0.9488574537540805
kappa,0.8828166183044692,0.04074727589080089,0.8233438485804416,0.9488574537540805
best_cv_score,0.9159103641456582,0.006935070252617419,0.9061303688141923,0.9256448412698411
